name,number
JA Morkel,4
V Sehwag,4
CR Brathwaite,1
Shivam Sharma,5
LE Plunkett,6
MJ Guptill,9
GB Hogg,1
CK Kapugedera,3
N Deonarine,1
CAK Rajitha,5
SR Patel,4
RE Levi,4
MJ Lumb,9
Iqbal Abdulla,5
MJ Santner,5
RV Uthappa,9
MC Henriques,8
S Nadeem,5
KW Richardson,5
Umar Gul,1
HDRL Thirimanne,0
SW Billings,2
NJ Reardon,0
SS Cottrell,5
B Lee,1
AM Nayar,0
PP Ojha,5
JH Kallis,9
N Pradeep,5
DE Bollinger,5
LRPL Taylor,9
CH Gayle,7
MDKJ Perera,2
SP Narine,1
BAW Mendis,5
CJ Anderson,0
P Negi,1
Raza Hasan,5
Hammad Azam,6
L Balaji,5
J Suchith,5
PG Fulton,3
ST Finn,5
J Yadav,5
SL Malinga,1
Sachin Baby,6
KOA Powell,1
AJ Tye,5
RLB Rambukwella,1
DJG Sammy,8
KP Pietersen,9
Yasir Arafat,0
DL Vettori,0
KH Pandya,1
M Manhas,0
A Mishra,6
CAK Walton,2
RA Jadeja,3
Usman Khan,5
YV Takawale,6
LD Chandimal,8
AN Ahmed,5
BMAJ Mendis,3
Y Venugopal Rao,2
JP Duminy,9
H Davids,4
NO Miller,5
DJ Hussey,7
MG Johnson,1
SV Samson,3
M Vohra,2
CH Morris,0
Asad Shafiq,3
S Gopal,5
P Sahu,5
KC Sangakkara,9
IK Pathan,3
M Morkel,5
NE Bonner,6
D Wiese,0
Aizaz Cheema,5
JM Muirhead,5
MD Shanaka,6
KS Lokuarachchi,1
Sohaib Maqsood,3
KMC Bandara,5
JW Hastings,6
Anureet Singh,5
LMP Simmons,9
AR Nurse,1
PV Tambe,5
KV Sharma,0
ER Dwivedi,6
Imran Khan (1),5
KA Pollard,7
MJ Henry,5
SR Watson,9
NLTC Perera,3
R McLaren,2
KJ Abbott,5
VR Aaron,5
JC Buttler,4
MK Tiwary,8
RG More,5
DJ Muthuswami,5
MEK Hussey,9
AM Phangiso,5
JDP Oram,0
MJ McClenaghan,5
SS Tiwary,8
NM Coulter-Nile,1
Khurram Manzoor,3
DJ Bravo,9
Azhar Mahmood,4
BJ Hodge,7
DJ Willey,2
