name,number
VS Malik,1
JA Morkel,9
RG More,1
Bilawal Bhatti,3
J Botha,5
D Bishoo,1
Shivam Sharma,2
BE Hendricks,7
TA Boult,8
LE Plunkett,0
Saeed Ajmal,4
AM Phangiso,0
JDP Oram,3
MJ McClenaghan,6
MR Marsh,2
N Rana,1
NM Coulter-Nile,4
CJ McKay,0
RJW Topley,3
YK Pathan,0
DJ Bravo,6
Azhar Mahmood,9
N Deonarine,1
CR Brathwaite,7
BJ Hodge,3
S Nadeem,7
TAM Siriwardana,3
DJ Willey,0
M de Lange,2
SR Patel,0
B Kumar,6
RJ Nicol,3
DSNFG Jayasuriya,1
LR Shukla,3
Iqbal Abdulla,7
RJ Peterson,5
RK Kleinveldt,0
BCJ Cutting,2
MJ Santner,2
GP Swann,7
UT Yadav,4
Shahid Afridi,6
Umar Gul,5
MP Stoinis,2
JDS Neesham,7
MM Ali,7
CJ Boyce,2
MC Henriques,8
R Rampaul,5
DR Briggs,0
KW Richardson,7
BW Hilfenhaus,0
RN ten Doeschate,0
Wahab Riaz,5
Abdur Rehman,3
Swapnil Singh,1
DAS Gunaratne,1
R Shukla,1
Yuvraj Singh,8
Shoaib Malik,0
F du Plessis,1
AD Russell,4
J Theron,0
B Lee,0
Mohammad Amir,7
R Bhatia,8
Imran Tahir,6
Bipul Sharma,3
SN Thakur,1
JP Faulkner,6
RM Hira,7
KC Cariappa,2
PP Ojha,5
TM Dilshan,3
F Behardien,1
NL McCullum,4
Karanveer Singh,2
JH Kallis,0
N Pradeep,1
DE Bollinger,0
CH Gayle,0
GB Hogg,8
JDF Vandersay,2
M Ashwin,2
S Prasanna,3
SCJ Broad,8
IG Butler,3
Saad Nasim,1
SP Narine,6
JJ Bumrah,6
Fawad Ahmed,1
Ankit Sharma,2
BAW Mendis,5
HMRKB Herath,7
Anwar Ali,0
IK Pathan,5
CJ Anderson,8
P Negi,7
Raza Hasan,7
Z Khan,4
L Balaji,5
SB Jakati,3
YS Chahal,6
J Suchith,2
CR Woakes,3
DS Kulkarni,4
SPD Smith,1
ST Finn,8
Shakib Al Hasan,4
SL Malinga,6
Ahmed Shehzad,1
Sachin Baby,1
FH Edwards,3
AJ Tye,1
CJ Jordan,8
RLB Rambukwella,1
SS Cottrell,3
KS Williamson,1
DJG Sammy,5
AF Milne,7
JW Hastings,0
K Rabada,7
AB Dinda,8
AC Agar,1
R Ashwin,6
SA Abbott,1
MM Sharma,6
CL White,1
Yasir Arafat,9
AR Patel,6
DL Vettori,0
TM Head,1
SA Yadav,1
MA Starc,6
KH Pandya,2
AD Mathews,4
I Sharma,7
R Tewatia,1
AJ Finch,1
JD Unadkat,7
A Mishra,6
RA Jadeja,6
AU Rashid,5
BMAJ Mendis,3
DT Christian,0
Usman Khan,1
Sandeep Sharma,4
XJ Doherty,7
AN Ahmed,2
LL Tsotsobe,7
A Ashish Reddy,3
Mohammad Sami,0
JE Taylor,3
JP Duminy,8
H Davids,1
Parvez Rasool,2
J Yadav,2
NO Miller,3
M Vijay,1
Zulfiqar Babar,3
DJ Hussey,3
GJ Maxwell,8
SMSM Senanayake,8
S Badree,4
MD Gunathilaka,1
AM Ellis,3
Sohail Tanvir,4
S Rana,1
CH Morris,4
Harbhajan Singh,6
S Gopal,2
CRD Fernando,3
A Dananjaya,1
P Sahu,2
BB Sran,7
JW Dernbach,4
S Kaul,3
I Udana,3
Abdul Razzaq,0
R Sathish,1
KK Cooper,0
C Munro,1
JE Root,1
MF Maharoof,3
Imad Wasim,7
M Morkel,6
Mohammad Irfan,7
RG Sharma,1
GD Elliott,3
R Dhawan,8
Mohammad Hafeez,4
TD Astle,1
D Wiese,4
A Nehra,4
Y Venugopal Rao,1
JL Pattinson,1
JEC Franklin,0
LJ Wright,0
Aizaz Cheema,3
JM Muirhead,1
MD Shanaka,1
KS Lokuarachchi,3
Sohaib Maqsood,1
PP Chawla,4
IS Sodhi,2
JO Holder,2
KMC Bandara,1
SW Tait,9
SS Pathirana,1
B Fernando,1
A Zampa,7
Anureet Singh,7
RMS Eranga,3
Gurkeerat Singh,1
HV Patel,8
LMP Simmons,1
AR Nurse,3
PV Tambe,8
S Aravind,7
KV Sharma,8
PVD Chameera,2
RS Bopara,5
Mohammed Shami,8
TG Southee,4
PJ Cummins,7
GE Mathurin,1
JC Tredwell,5
MG Johnson,4
CAK Rajitha,1
AP Devcich,3
Imran Khan (1),1
DJ Muthuswami,1
DM de Silva,1
WD Parnell,4
TT Bresnan,5
VR Aaron,8
STR Binny,7
KA Pollard,5
DAJ Bracewell,2
Junaid Khan,3
MJ Henry,3
KD Mills,7
DW Steyn,4
RAS Lakmal,2
DR Smith,0
SR Watson,6
NLTC Perera,4
KMDN Kulasekara,4
SK Raina,8
S Kaushik,2
R McLaren,0
KJ Abbott,8
TL Best,3
R Vinay Kumar,4
BA Stokes,2
P Kumar,4
GH Worker,1
DJ Hooda,2
JL Ontong,1
MN Samuels,7
HH Pandya,7
V Kohli,2
MK Tiwary,1
