MatchID,Home,Away,Stadium,D/N,Href
0,Mumbai Indians,Kolkata Knight Riders,"Sheikh Zayed Stadium, Abu Dhabi",N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/729279.html
1,Delhi Daredevils,Royal Challengers Bangalore,Sharjah Cricket Stadium,N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/729281.html
2,Chennai Super Kings,Kings XI Punjab,"Sheikh Zayed Stadium, Abu Dhabi",,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/729283.html
3,Sunrisers Hyderabad,Rajasthan Royals,"Sheikh Zayed Stadium, Abu Dhabi",N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/729285.html
4,Royal Challengers Bangalore,Mumbai Indians,Dubai International Cricket Stadium,,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/729287.html
5,Kolkata Knight Riders,Delhi Daredevils,Dubai International Cricket Stadium,N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/729289.html
6,Rajasthan Royals,Kings XI Punjab,Sharjah Cricket Stadium,N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/729291.html
7,Chennai Super Kings,Delhi Daredevils,"Sheikh Zayed Stadium, Abu Dhabi",N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/729293.html
8,Kings XI Punjab,Sunrisers Hyderabad,Sharjah Cricket Stadium,N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/729295.html
9,Rajasthan Royals,Chennai Super Kings,Dubai International Cricket Stadium,N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/729297.html
10,Royal Challengers Bangalore,Kolkata Knight Riders,Sharjah Cricket Stadium,N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/729299.html
11,Sunrisers Hyderabad,Delhi Daredevils,Dubai International Cricket Stadium,,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/729301.html
12,Chennai Super Kings,Mumbai Indians,Dubai International Cricket Stadium,N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/729303.html
13,Rajasthan Royals,Royal Challengers Bangalore,"Sheikh Zayed Stadium, Abu Dhabi",,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/729305.html
14,Kolkata Knight Riders,Kings XI Punjab,"Sheikh Zayed Stadium, Abu Dhabi",N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/729307.html
15,Delhi Daredevils,Mumbai Indians,Sharjah Cricket Stadium,,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/729309.html
16,Sunrisers Hyderabad,Chennai Super Kings,Sharjah Cricket Stadium,N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/729311.html
17,Kings XI Punjab,Royal Challengers Bangalore,Dubai International Cricket Stadium,N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/729313.html
18,Kolkata Knight Riders,Rajasthan Royals,"Sheikh Zayed Stadium, Abu Dhabi",N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/729315.html
19,Mumbai Indians,Sunrisers Hyderabad,Dubai International Cricket Stadium,N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/729317.html
20,Chennai Super Kings,Kolkata Knight Riders,"JSCA International Stadium Complex, Ranchi",N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/733971.html
21,Mumbai Indians,Kings XI Punjab,"Wankhede Stadium, Mumbai",D/N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/733973.html
22,Delhi Daredevils,Rajasthan Royals,"Feroz Shah Kotla, Delhi",N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/733975.html
23,Royal Challengers Bangalore,Sunrisers Hyderabad,"M Chinnaswamy Stadium, Bangalore",N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/733977.html
24,Rajasthan Royals,Kolkata Knight Riders,"Sardar Patel Stadium, Motera, Ahmedabad",D/N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/733979.html
25,Delhi Daredevils,Chennai Super Kings,"Feroz Shah Kotla, Delhi",N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/733981.html
26,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/733983.html
27,Delhi Daredevils,Kolkata Knight Riders,"Feroz Shah Kotla, Delhi",D/N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/733985.html
28,Kings XI Punjab,Chennai Super Kings,"Barabati Stadium, Cuttack",N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/733987.html
29,Rajasthan Royals,Sunrisers Hyderabad,"Sardar Patel Stadium, Motera, Ahmedabad",N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/733989.html
30,Royal Challengers Bangalore,Kings XI Punjab,"M Chinnaswamy Stadium, Bangalore",N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/733991.html
31,Delhi Daredevils,Sunrisers Hyderabad,"Feroz Shah Kotla, Delhi",D/N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/733993.html
32,Mumbai Indians,Chennai Super Kings,"Wankhede Stadium, Mumbai",N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/733995.html
33,Kings XI Punjab,Kolkata Knight Riders,"Barabati Stadium, Cuttack",D/N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/733997.html
34,Royal Challengers Bangalore,Rajasthan Royals,"M Chinnaswamy Stadium, Bangalore",N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/733999.html
35,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/734001.html
36,Chennai Super Kings,Rajasthan Royals,"JSCA International Stadium Complex, Ranchi",D/N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/734003.html
37,Royal Challengers Bangalore,Delhi Daredevils,"M Chinnaswamy Stadium, Bangalore",N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/734005.html
38,Sunrisers Hyderabad,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",D/N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/734007.html
39,Kolkata Knight Riders,Mumbai Indians,"Barabati Stadium, Cuttack",N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/734009.html
40,Rajasthan Royals,Delhi Daredevils,"Sardar Patel Stadium, Motera, Ahmedabad",N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/734011.html
41,Chennai Super Kings,Royal Challengers Bangalore,"JSCA International Stadium Complex, Ranchi",D/N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/734013.html
42,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/734015.html
43,Rajasthan Royals,Mumbai Indians,"Sardar Patel Stadium, Motera, Ahmedabad",D/N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/734017.html
44,Delhi Daredevils,Kings XI Punjab,"Feroz Shah Kotla, Delhi",N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/734019.html
45,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",D/N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/734021.html
46,Kolkata Knight Riders,Chennai Super Kings,"Eden Gardens, Kolkata",N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/734023.html
47,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali, Chandigarh",N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/734025.html
48,Kolkata Knight Riders,Royal Challengers Bangalore,"Eden Gardens, Kolkata",D/N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/734027.html
49,Chennai Super Kings,Sunrisers Hyderabad,"JSCA International Stadium Complex, Ranchi",N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/734029.html
50,Mumbai Indians,Delhi Daredevils,"Wankhede Stadium, Mumbai",D/N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/734031.html
51,Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali, Chandigarh",N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/734033.html
52,Royal Challengers Bangalore,Chennai Super Kings,"M Chinnaswamy Stadium, Bangalore",D/N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/734035.html
53,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata",N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/734037.html
54,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali, Chandigarh",D/N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/734039.html
55,Mumbai Indians,Rajasthan Royals,"Wankhede Stadium, Mumbai",N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/734041.html
56,Kings XI Punjab,Kolkata Knight Riders,"Eden Gardens, Kolkata",D/N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/734043.html
57,Chennai Super Kings,Mumbai Indians,"Brabourne Stadium, Mumbai",N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/734045.html
58,Chennai Super Kings,Kings XI Punjab,"Wankhede Stadium, Mumbai",N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/734047.html
59,Kolkata Knight Riders,Kings XI Punjab,"M Chinnaswamy Stadium, Bangalore",N,http://www.espncricinfo.com/indian-premier-league-2014/engine/match/734049.html
