Home,Away,MatchID,Href,Stadium
New Zealand,Sri Lanka,T20I # 474,http://www.espncricinfo.com/ci/engine/match/914217.html,Mount Maunganui
New Zealand,Sri Lanka,T20I # 476,http://www.espncricinfo.com/ci/engine/match/914219.html,Auckland
New Zealand,Pakistan,T20I # 478,http://www.espncricinfo.com/ci/engine/match/914221.html,Auckland
New Zealand,Pakistan,T20I # 480,http://www.espncricinfo.com/ci/engine/match/914223.html,Hamilton
New Zealand,Pakistan,T20I # 483,http://www.espncricinfo.com/ci/engine/match/914225.html,Wellington
Australia,India,T20I # 485,http://www.espncricinfo.com/ci/engine/match/895817.html,Adelaide
Australia,India,T20I # 486,http://www.espncricinfo.com/ci/engine/match/895819.html,Melbourne
Australia,India,T20I # 489,http://www.espncricinfo.com/ci/engine/match/895821.html,Sydney
India,Sri Lanka,T20I # 496,http://www.espncricinfo.com/ci/engine/match/963697.html,Pune
India,Sri Lanka,T20I # 497,http://www.espncricinfo.com/ci/engine/match/963699.html,Ranchi
India,Sri Lanka,T20I # 499,http://www.espncricinfo.com/ci/engine/match/963701.html,Visakhapatnam
South Africa,England,T20I # 503,http://www.espncricinfo.com/ci/engine/match/800479.html,Cape Town
South Africa,England,T20I # 506,http://www.espncricinfo.com/ci/engine/match/800481.html,Johannesburg
India,Pakistan,T20I # 512,http://www.espncricinfo.com/ci/engine/match/966751.html,Dhaka
India,Sri Lanka,T20I # 515,http://www.espncricinfo.com/ci/engine/match/966757.html,Dhaka
Pakistan,Sri Lanka,T20I # 518,http://www.espncricinfo.com/ci/engine/match/966763.html,Dhaka
South Africa,Australia,T20I # 519,http://www.espncricinfo.com/ci/engine/match/884347.html,Durban
South Africa,Australia,T20I # 520,http://www.espncricinfo.com/ci/engine/match/884349.html,Johannesburg
South Africa,Australia,T20I # 526,http://www.espncricinfo.com/ci/engine/match/884351.html,Cape Town
India,New Zealand,T20I # 535,http://www.espncricinfo.com/ci/engine/match/951329.html,Nagpur
England,West Indies,T20I # 537,http://www.espncricinfo.com/ci/engine/match/951331.html,Mumbai
Australia,New Zealand,T20I # 539,http://www.espncricinfo.com/ci/engine/match/951337.html,Dharamsala
England,South Africa,T20I # 540,http://www.espncricinfo.com/ci/engine/match/951339.html,Mumbai
India,Pakistan,T20I # 541,http://www.espncricinfo.com/ci/engine/match/951341.html,Kolkata
Sri Lanka,West Indies,T20I # 543,http://www.espncricinfo.com/ci/engine/match/951345.html,Bangalore
New Zealand,Pakistan,T20I # 545,http://www.espncricinfo.com/ci/engine/match/951349.html,Mohali
