Batsman,Bowler,0,1,2,3,4,5,6,7+,Wickets,Runs,Balls
A Ashish Reddy,A Nehra,2,2,0,0,0,0,0,0,0,2,4
A Ashish Reddy,AD Mathews,1,0,1,0,1,0,1,0,0,12,4
A Ashish Reddy,AD Russell,0,2,1,0,0,0,0,0,0,4,3
A Ashish Reddy,Anureet Singh,0,2,0,0,0,0,0,0,0,2,2
A Ashish Reddy,CH Morris,0,1,0,0,0,0,0,0,0,1,1
A Ashish Reddy,DJ Bravo,1,0,0,0,1,0,0,0,1,4,2
A Ashish Reddy,Harbhajan Singh,3,3,1,0,0,0,1,0,0,11,8
A Ashish Reddy,Imran Tahir,0,2,0,0,0,0,0,0,0,2,2
A Ashish Reddy,JP Duminy,0,1,0,0,0,0,0,0,0,1,1
A Ashish Reddy,KA Pollard,1,1,1,0,0,0,0,0,1,3,3
A Ashish Reddy,M Morkel,0,1,0,0,0,0,0,0,0,1,1
A Ashish Reddy,MG Johnson,0,1,1,0,1,0,0,0,0,7,3
A Ashish Reddy,NM Coulter-Nile,1,0,0,0,0,0,0,0,0,0,1
A Ashish Reddy,Parvez Rasool,2,4,0,0,2,0,1,0,0,18,9
A Ashish Reddy,PV Tambe,1,3,0,0,0,0,0,0,0,3,4
A Ashish Reddy,Sandeep Sharma,0,1,0,0,0,0,2,0,0,13,3
A Ashish Reddy,SL Malinga,2,1,1,0,0,0,0,0,0,3,4
A Ashish Reddy,SR Watson,2,3,0,0,0,0,0,0,1,3,5
A Ashish Reddy,TG Southee,1,1,1,0,0,0,1,0,0,9,4
A Ashish Reddy,UT Yadav,1,2,0,0,0,0,1,0,0,8,4
A Ashish Reddy,YS Chahal,4,1,0,0,0,0,2,0,0,13,7
A Mishra,A Nehra,0,1,1,0,0,0,0,0,0,3,2
A Mishra,D Wiese,0,1,0,0,0,0,0,0,0,1,1
A Mishra,DS Kulkarni,1,0,0,0,0,0,0,0,0,0,1
A Mishra,GB Hogg,5,1,0,0,0,0,0,0,1,1,6
A Mishra,JJ Bumrah,2,0,0,0,0,0,0,0,1,0,2
A Mishra,JP Faulkner,2,0,0,0,0,0,0,0,0,0,2
A Mishra,L Balaji,0,2,0,0,0,0,0,0,0,2,2
A Mishra,MA Starc,2,1,0,0,0,0,0,0,1,1,3
A Mishra,MG Johnson,1,1,0,0,0,0,0,0,0,1,2
A Mishra,MJ McClenaghan,1,0,0,0,0,0,0,0,0,0,1
A Mishra,PP Chawla,1,2,0,0,0,0,0,0,0,2,3
A Mishra,R Ashwin,1,1,0,0,0,0,0,0,0,1,2
A Mishra,R Dhawan,0,1,0,0,0,0,0,0,0,1,1
A Mishra,R Vinay Kumar,1,1,0,0,0,0,0,0,0,1,2
A Mishra,TG Southee,1,1,0,0,0,0,0,0,0,1,2
A Mishra,UT Yadav,0,1,0,0,0,0,0,0,0,1,1
A Nehra,AD Russell,2,1,0,0,0,0,0,0,0,1,3
A Nehra,AF Milne,1,0,0,0,0,0,0,0,1,0,1
A Nehra,CAK Rajitha,2,1,0,0,0,0,0,0,0,1,3
A Nehra,GB Hogg,1,0,0,0,0,0,0,0,0,0,1
A Nehra,IS Sodhi,3,0,0,0,0,0,0,0,0,0,3
A Nehra,MA Starc,2,0,0,0,0,0,0,0,0,0,2
A Nehra,NLTC Perera,4,1,0,0,0,0,0,0,0,1,5
A Nehra,NM Coulter-Nile,0,1,0,0,0,0,0,0,0,1,1
A Nehra,PVD Chameera,3,0,0,0,0,0,0,0,1,0,3
A Nehra,S Prasanna,3,3,0,0,0,0,0,0,0,3,6
A Nehra,SL Malinga,1,0,0,0,0,0,0,0,1,0,1
A Nehra,SMSM Senanayake,1,1,0,0,0,0,0,0,0,1,2
A Zampa,A Nehra,1,0,0,0,0,0,0,0,1,0,1
A Zampa,CJ Anderson,0,0,1,0,0,0,0,0,0,2,1
A Zampa,K Rabada,1,0,1,0,0,0,0,0,0,2,2
A Zampa,KJ Abbott,2,0,0,1,0,0,0,0,0,3,3
AB de Villiers,A Ashish Reddy,2,3,2,0,2,0,3,0,0,33,12
AB de Villiers,A Mishra,2,4,3,0,1,0,0,0,0,14,10
AB de Villiers,A Nehra,8,3,0,0,4,0,1,0,2,25,16
AB de Villiers,A Zampa,2,1,0,0,0,0,0,0,1,1,3
AB de Villiers,AD Mathews,8,4,3,0,2,0,0,0,2,18,17
AB de Villiers,AD Russell,3,1,0,0,2,0,0,0,0,9,6
AB de Villiers,Ankit Sharma,3,11,1,0,2,0,3,0,0,39,20
AB de Villiers,Anureet Singh,3,4,1,0,1,0,0,0,0,10,9
AB de Villiers,AR Patel,12,16,3,0,4,0,1,0,1,44,36
AB de Villiers,AS Rajpoot,2,2,1,0,3,0,0,0,0,16,8
AB de Villiers,AU Rashid,4,2,3,0,1,0,3,0,2,30,13
AB de Villiers,B Kumar,13,9,0,0,8,0,1,0,1,47,31
AB de Villiers,BA Stokes,3,1,0,0,2,0,0,0,0,9,6
AB de Villiers,BAW Mendis,2,5,4,0,1,0,0,0,0,17,12
AB de Villiers,BB Sran,6,5,3,0,2,0,0,0,1,19,16
AB de Villiers,Bipul Sharma,1,4,0,0,0,0,0,0,1,4,5
AB de Villiers,CH Morris,6,2,2,0,3,0,2,0,0,30,15
AB de Villiers,CJ Jordan,3,0,1,0,4,0,2,0,1,30,10
AB de Villiers,CR Brathwaite,4,2,0,0,0,0,0,0,1,2,6
AB de Villiers,DAJ Bracewell,1,5,0,0,1,0,0,0,0,9,7
AB de Villiers,DJ Bravo,4,10,1,0,3,0,2,0,1,36,20
AB de Villiers,DJ Hooda,0,0,0,0,1,0,0,0,0,4,1
AB de Villiers,DJ Hussey,4,1,2,0,1,0,2,0,1,21,10
AB de Villiers,DJ Willey,3,1,2,0,0,0,0,0,0,5,6
AB de Villiers,DJG Sammy,0,4,2,0,2,0,3,0,0,34,11
AB de Villiers,DR Smith,0,2,0,0,2,0,1,0,0,16,5
AB de Villiers,DS Kulkarni,12,15,2,0,6,0,1,0,0,49,36
AB de Villiers,DW Steyn,3,4,1,0,1,0,3,0,0,28,12
AB de Villiers,GB Hogg,1,9,1,0,0,0,1,0,1,17,12
AB de Villiers,GH Worker,4,1,1,0,2,0,0,0,1,11,8
AB de Villiers,GJ Maxwell,0,4,0,0,0,0,1,0,0,10,5
AB de Villiers,GP Swann,1,2,0,0,0,0,0,0,1,2,3
AB de Villiers,Harbhajan Singh,15,19,2,0,4,0,2,0,0,51,42
AB de Villiers,HH Pandya,0,6,0,0,6,0,2,0,0,42,14
AB de Villiers,HMRKB Herath,0,2,0,0,1,0,1,0,0,12,4
AB de Villiers,I Sharma,2,4,0,0,1,0,2,0,0,20,9
AB de Villiers,IC Pandey,11,1,0,0,4,0,1,0,1,23,17
AB de Villiers,IK Pathan,3,7,1,0,3,0,2,0,0,33,16
AB de Villiers,Imran Tahir,0,3,1,0,0,0,0,0,0,5,4
AB de Villiers,J Suchith,2,3,1,0,5,0,0,0,0,25,11
AB de Villiers,JC Tredwell,0,2,0,0,2,0,0,0,0,10,4
AB de Villiers,JDF Vandersay,0,2,0,0,0,0,0,0,0,2,2
AB de Villiers,JDS Neesham,2,1,0,0,2,0,0,0,0,9,5
AB de Villiers,JEC Franklin,0,5,1,0,0,0,0,0,0,7,6
AB de Villiers,JH Kallis,2,2,0,0,0,0,0,0,0,2,4
AB de Villiers,JJ Bumrah,14,12,4,0,1,0,3,0,2,42,34
AB de Villiers,JP Duminy,0,2,1,0,1,0,0,0,0,8,4
AB de Villiers,JP Faulkner,6,9,4,0,5,0,4,0,1,61,28
AB de Villiers,JR Hazlewood,1,1,1,0,1,0,0,0,0,7,4
AB de Villiers,Junaid Khan,2,2,0,0,2,0,1,0,0,16,7
AB de Villiers,JW Dernbach,2,0,2,0,2,0,2,0,1,24,8
AB de Villiers,JW Hastings,4,0,0,0,0,0,1,0,1,6,5
AB de Villiers,Karanveer Singh,1,3,0,0,0,0,3,0,0,21,7
AB de Villiers,KC Cariappa,1,6,1,0,2,0,1,0,1,22,11
AB de Villiers,KD Mills,1,3,0,0,1,0,0,0,0,7,5
AB de Villiers,KH Pandya,3,7,0,0,0,0,0,0,2,7,10
AB de Villiers,KJ Abbott,2,0,0,0,0,0,0,0,1,0,2
AB de Villiers,KV Sharma,8,12,0,0,0,0,2,0,0,24,22
AB de Villiers,KW Richardson,1,2,1,0,1,0,1,0,1,14,6
AB de Villiers,L Balaji,2,1,1,0,0,0,2,0,1,15,6
AB de Villiers,M Ashwin,1,2,1,0,2,0,2,0,0,24,8
AB de Villiers,M Morkel,3,1,0,0,1,0,0,0,0,5,5
AB de Villiers,MA Starc,2,2,1,0,0,0,0,0,0,4,5
AB de Villiers,MC Henriques,1,12,1,0,3,0,2,0,1,38,19
AB de Villiers,MD Bates,1,1,0,0,0,0,0,0,0,1,2
AB de Villiers,MD Shanaka,0,2,0,0,0,0,1,0,0,8,3
AB de Villiers,MG Johnson,3,6,2,0,1,0,0,0,0,14,12
AB de Villiers,MJ McClenaghan,8,7,1,0,9,0,1,0,0,51,26
AB de Villiers,MM Ali,0,2,0,0,0,0,0,0,0,2,2
AB de Villiers,MM Sharma,1,3,3,0,4,0,0,0,0,25,11
AB de Villiers,Mohammad Hafeez,4,3,2,0,2,0,0,0,0,15,11
AB de Villiers,Mohammad Irfan,7,1,2,0,2,0,1,0,1,19,13
AB de Villiers,Mohammed Shami,3,1,0,0,0,0,1,0,0,7,5
AB de Villiers,MP Stoinis,0,2,0,0,1,0,0,0,0,6,3
AB de Villiers,Mustafizur Rahman,6,5,1,0,0,0,0,0,1,7,12
AB de Villiers,NL McCullum,5,13,2,0,2,0,1,0,2,31,23
AB de Villiers,NLTC Perera,2,7,0,0,2,0,0,0,1,15,11
AB de Villiers,NM Coulter-Nile,4,1,0,0,0,0,0,0,1,1,5
AB de Villiers,P Kumar,6,6,0,0,2,0,5,0,0,44,19
AB de Villiers,P Negi,3,5,0,0,2,0,0,0,0,13,10
AB de Villiers,Parvez Rasool,0,1,0,0,0,0,0,0,0,1,1
AB de Villiers,PJ Cummins,2,2,0,0,0,0,0,0,0,2,4
AB de Villiers,PP Chawla,5,6,2,0,1,0,0,0,2,14,14
AB de Villiers,PP Ojha,4,7,0,0,2,0,0,0,0,15,13
AB de Villiers,PV Tambe,8,14,2,0,6,0,2,0,1,54,32
AB de Villiers,R Ashwin,11,14,1,1,3,0,1,0,3,37,31
AB de Villiers,R Bhatia,0,10,2,0,1,0,0,0,0,18,13
AB de Villiers,R Dhawan,1,4,0,0,1,0,0,0,1,8,6
AB de Villiers,R Tewatia,1,3,0,0,0,0,0,0,0,3,4
AB de Villiers,R Vinay Kumar,1,3,0,0,0,0,0,0,1,3,4
AB de Villiers,RA Jadeja,13,17,0,0,3,0,4,0,0,53,37
AB de Villiers,RAS Lakmal,1,1,0,0,0,0,1,0,0,7,3
AB de Villiers,RJ Nicol,4,3,0,0,1,0,1,0,1,13,9
AB de Villiers,RJW Topley,4,4,0,0,1,0,3,0,0,26,12
AB de Villiers,RM Hira,9,7,0,0,0,0,0,0,1,7,16
AB de Villiers,RS Bopara,2,5,0,0,3,0,1,0,0,23,11
AB de Villiers,S Aravind,1,2,1,0,2,0,1,0,0,18,7
AB de Villiers,S Badree,0,1,0,0,0,0,0,0,0,1,1
AB de Villiers,S Kaul,1,1,0,0,3,0,1,0,1,19,6
AB de Villiers,S Kaushik,0,2,0,0,1,0,1,0,0,12,4
AB de Villiers,Saeed Ajmal,2,4,0,0,1,0,0,0,0,8,7
AB de Villiers,Sandeep Sharma,1,8,2,0,3,0,2,0,1,36,16
AB de Villiers,SB Jakati,1,6,0,1,1,0,2,0,0,25,11
AB de Villiers,SCJ Broad,3,2,2,0,3,0,0,0,0,18,10
AB de Villiers,Shahid Afridi,3,6,0,0,1,0,0,0,1,10,10
AB de Villiers,Shakib Al Hasan,3,8,3,0,1,0,2,0,0,30,17
AB de Villiers,Shivam Sharma,1,5,0,0,0,0,2,0,0,17,8
AB de Villiers,SJ Benn,1,1,1,0,0,0,0,0,0,3,3
AB de Villiers,SL Malinga,12,11,7,0,8,0,3,0,1,75,41
AB de Villiers,SMSM Senanayake,3,1,0,0,0,0,0,0,0,1,4
AB de Villiers,Sohail Tanvir,1,0,0,0,1,0,0,0,1,4,2
AB de Villiers,SP Narine,3,5,1,0,0,0,1,0,1,13,10
AB de Villiers,SR Watson,14,15,6,0,5,0,0,0,1,47,40
AB de Villiers,ST Finn,4,1,0,0,0,0,0,0,1,1,5
AB de Villiers,STR Binny,7,3,1,0,0,0,1,0,0,11,12
AB de Villiers,TA Boult,1,0,0,0,1,0,0,0,1,4,2
AB de Villiers,TAM Siriwardana,1,2,0,0,0,0,0,0,0,2,3
AB de Villiers,TG Southee,16,10,3,0,4,0,0,0,0,32,33
AB de Villiers,TM Dilshan,0,2,0,0,0,0,0,0,0,2,2
AB de Villiers,TT Bresnan,1,2,0,0,2,0,1,0,0,16,6
AB de Villiers,Umar Gul,2,1,0,0,0,0,1,0,1,7,4
AB de Villiers,UT Yadav,1,1,0,0,1,0,0,0,0,5,3
AB de Villiers,XJ Doherty,0,3,0,0,0,0,0,0,0,3,3
AB de Villiers,YK Pathan,1,2,0,0,0,0,1,0,0,8,4
AB de Villiers,Yuvraj Singh,1,0,0,0,0,0,0,0,1,0,1
AB de Villiers,Z Khan,16,6,3,0,6,0,0,0,1,36,31
AB Dinda,KA Pollard,0,1,0,0,0,0,0,0,0,1,1
AB Dinda,MG Johnson,3,2,0,0,0,0,0,0,0,2,5
AB Dinda,PV Tambe,3,0,0,0,0,0,0,0,1,0,3
AB Dinda,SL Malinga,2,1,0,0,0,0,0,0,0,1,3
AB Dinda,Sohail Tanvir,0,2,0,0,0,0,0,0,0,2,2
AB Dinda,Umar Gul,1,1,0,0,0,0,0,0,0,1,2
Abdul Razzaq,DT Christian,0,3,0,0,0,0,0,0,0,3,3
Abdul Razzaq,GB Hogg,7,1,0,0,0,0,0,0,0,1,8
Abdul Razzaq,GJ Maxwell,5,1,1,0,0,0,0,0,0,3,7
Abdul Razzaq,Imran Tahir,5,3,0,0,0,0,0,0,1,3,8
Abdul Razzaq,MA Starc,6,1,1,0,1,0,0,0,0,7,9
Abdul Razzaq,PJ Cummins,6,1,1,0,2,0,1,0,2,17,11
Abdul Razzaq,R McLaren,3,2,0,0,1,0,0,0,1,6,6
Abdul Razzaq,SR Watson,3,4,1,0,0,0,0,0,0,6,8
Abdul Razzaq,WD Parnell,2,1,0,0,0,0,0,0,0,1,3
