Name,Matches,Innings,Wickets,Average,Economy,Strike Rate,
DJ Bravo,329,312,344,24.43,8.08,18.1,
SL Malinga,221,216,299,18.03,6.69,16.1,
Yasir Arafat,226,224,281,22.58,8.09,16.7,
Saeed Ajmal,183,182,260,16.99,6.44,15.8,
Azhar Mahmood,230,229,258,23.81,7.63,18.7,
Shakib Al Hasan,209,204,242,20.54,6.75,18.2,
SP Narine,196,192,241,17.61,5.68,18.5,
Shahid Afridi,224,220,240,22.35,6.64,20.1,
Sohail Tanvir,233,229,238,24.8,7.24,20.5,
JA Morkel,287,262,230,26.08,7.66,20.4,
KA Pollard,327,242,219,23.52,8.01,17.5,
SW Tait,167,163,214,22.13,7.89,16.8,
AD Russell,222,206,201,25.46,8.12,18.8,
DW Steyn,179,176,201,22,6.67,19.7,
R Ashwin,195,192,200,23.31,6.74,20.7,
A Mishra,168,167,199,21.02,7.03,17.9,
Harbhajan Singh,209,198,190,25.32,6.7,22.6,
Umar Gul,139,139,188,19.15,7.37,15.5,
PP Chawla,179,178,182,24.9,7.38,20.2,
M Morkel,159,157,174,25.09,7.42,20.2,
SR Watson,207,178,172,25.99,7.68,20.2,
KK Cooper,141,132,165,20.42,7.16,17,
RS Bopara,233,181,165,24.21,7.35,19.7,
IK Pathan,163,158,161,25.6,7.53,20.3,
BAW Mendis,119,119,159,18.91,6.89,16.4,
JP Faulkner,134,134,158,23.19,7.87,17.6,
NL McCullum,173,159,157,24.09,7.17,20.1,
Imran Tahir,134,128,156,21.08,6.88,18.3,
NLTC Perera,178,164,155,25.9,8.37,18.5,
R Vinay Kumar,147,146,155,25.76,7.91,19.5,
CH Morris,123,121,150,22.1,7.6,17.4,
PP Ojha,134,131,148,22.27,7.13,18.7,
A Nehra,120,120,146,22.48,7.61,17.7,
AU Rashid,131,126,146,22.39,7.47,17.9,
DJG Sammy,216,188,146,27,7.74,20.9,
J Botha,184,176,146,26.92,6.42,25.1,
S Badree,148,145,146,20.08,5.61,21.4,
WD Parnell,145,142,146,24.97,7.51,19.9,
R Rampaul,114,113,145,20.64,7.34,16.8,
R McLaren,156,153,140,28.54,7.92,21.6,
Wahab Riaz,122,121,138,22.57,7.24,18.6,
SR Patel,168,150,137,26.78,7.2,22.2,
TG Southee,120,118,136,26.04,8.18,19,
J Theron,120,119,135,23,7.2,19.1,
Mohammad Hafeez,196,153,135,22.63,6.23,21.7,
DE Bollinger,123,122,134,24.97,7.73,19.3,
MJ McClenaghan,101,99,134,21.52,7.98,16.1,
Abdul Razzaq,137,125,133,23.1,7.63,18.1,
DR Briggs,113,107,133,21.04,7.22,17.4,
DL Vettori,143,143,131,26.12,6.34,24.7,
DT Christian,174,156,130,29.92,8.28,21.6,
P Kumar,162,162,130,32.57,7.42,26.3,
Z Khan,127,126,129,27.04,7.46,21.7,
MA Starc,85,84,127,17.44,7.14,14.6,
JW Dernbach,114,112,126,25.32,8.36,18.1,
L Balaji,104,104,126,22.19,7.76,17.1,
GB Hogg,125,121,125,24.02,6.81,21.1,
JC Tredwell,158,150,124,30.22,7.3,24.8,
RJ Peterson,141,134,122,25.52,7.1,21.5,
RA Jadeja,183,157,119,29.83,7.67,23.3,
AB Dinda,116,113,117,24.99,7.61,19.7,
CJ McKay,96,96,117,23.05,7.85,17.6,
Mohammad Sami,107,107,116,23.62,7.01,20.2,
JH Kallis,176,150,114,30.54,7.6,24,
Shoaib Malik,247,153,114,25.57,7.03,21.8,
TT Bresnan,126,123,114,27.69,7.8,21.2,
DJ Willey,116,94,112,20.05,7.54,15.9,
KMDN Kulasekara,99,98,111,22.47,7.19,18.7,
B Lee,120,120,109,29.88,7.22,24.8,
D Wiese,129,109,109,22.99,8.25,16.7,
B Kumar,102,102,108,24.28,7.06,20.6,
Aizaz Cheema,78,78,105,19.78,7.43,15.9,
AM Phangiso,104,94,105,21.12,6.84,18.5,
KD Mills,98,96,105,27.1,8.1,20,
DS Kulkarni,96,95,104,23.9,7.7,18.6,
IG Butler,87,83,104,22.39,8.26,16.2,
RN ten Doeschate,282,127,104,26,8.06,19.3,
R Bhatia,137,129,103,27.45,7.17,22.9,
MC Henriques,136,119,101,27.76,8.11,20.5,
DR Smith,267,147,99,26.35,7.85,20.1,
RK Kleinveldt,110,109,99,29.3,7.77,22.6,
GP Swann,80,79,98,18.88,6.56,17.2,
SMSM Senanayake,88,87,97,20.98,6.38,19.7,
BW Hilfenhaus,77,77,96,21.69,7.5,17.3,
JEC Franklin,197,148,96,30.53,8.28,22.1,
JW Hastings,84,82,96,22.59,7.57,17.8,
JJ Bumrah,82,82,95,23.25,7.23,19.2,
RM Hira,99,94,95,23.66,7.09,20,
Junaid Khan,80,80,94,21.48,6.82,18.8,
MG Johnson,82,81,94,25.1,7.84,19.1,
YK Pathan,213,131,94,28.8,7.66,22.5,
AM Ellis,87,74,92,21.68,8.09,16,
SCJ Broad,77,75,92,20.66,7.08,17.5,
UT Yadav,97,95,92,29.46,8.17,21.6,
LE Plunkett,104,98,91,27.4,7.78,21.1,
MF Maharoof,91,84,88,23.05,7.35,18.8,
NM Coulter-Nile,76,74,88,23.97,7.74,18.5,
JE Taylor,72,72,87,23.01,7.76,17.7,
KJ Abbott,91,89,87,28.96,7.93,21.8,
MM Sharma,79,78,87,24.37,8.03,18.2,
Anwar Ali,92,91,86,28.74,7.87,21.9,
CR Woakes,87,84,86,26.1,8.1,19.3,
YS Chahal,82,80,85,23.77,7.31,19.4,
Zulfiqar Babar,71,70,85,20.18,6.41,18.8,
FH Edwards,89,87,84,26.75,7.58,21.1,
I Sharma,103,103,84,34.9,7.85,26.6,
JDP Oram,105,94,81,29.7,7.84,22.7,
LJ Wright,256,122,79,32.44,8.54,22.7,
Yuvraj Singh,187,117,79,22.98,7.25,19,
AD Mathews,142,110,78,30.03,7.27,24.7,
JD Unadkat,66,65,78,22.24,7.51,17.7,
CH Gayle,272,125,77,30.42,7.54,24.2,
I Udana,72,70,77,24.18,8.06,18,
RJW Topley,56,55,77,21.22,8.31,15.3,
Iqbal Abdulla,81,79,76,24.1,6.87,21,
Raza Hasan,58,58,76,17.14,5.98,17.1,
Abdur Rehman,80,80,74,26.31,6.63,23.7,
CRD Fernando,54,54,74,20.47,7.73,15.8,
Mohammad Amir,64,64,74,21.44,6.67,19.2,
ST Finn,66,65,74,23.04,7.37,18.7,
Imad Wasim,74,71,72,21.38,6.32,20.3,
S Aravind,59,58,72,21.88,7.8,16.8,
LL Tsotsobe,77,76,71,27.53,7.23,22.8,
S Nadeem,83,81,70,28.44,6.59,25.8,
Sandeep Sharma,59,59,70,22.25,7.37,18.1,
SB Jakati,81,79,70,28.17,7.52,22.4,
AR Patel,70,70,69,25.39,6.9,22,
KV Sharma,90,81,69,26.71,7.45,21.4,
DJ Hussey,258,110,68,26.35,7.47,21.1,
JP Duminy,210,117,67,28.41,7.54,22.5,
Mohammad Irfan,58,58,67,20.59,6.6,18.7,
S Prasanna,81,74,67,24.83,6.81,21.8,
MM Ali,106,83,66,26.93,7.46,21.6,
MN Samuels,132,80,66,26.68,7.03,22.7,
BJ Hodge,262,85,65,22.2,7.8,17,
GD Elliott,98,79,65,23.93,8.07,17.7,
A Zampa,53,52,64,19.76,7,16.9,
AF Milne,57,55,64,24.1,7.71,18.7,
RJ Nicol,102,82,64,28.54,7.75,22,
TM Dilshan,221,116,64,29.56,7.25,24.4,
XJ Doherty,73,72,62,31.62,7.66,24.7,
BE Hendricks,42,42,61,19.72,8.23,14.3,
BMAJ Mendis,111,68,61,21.42,7.18,17.9,
CJ Jordan,64,62,61,28.78,8.64,19.9,
KW Richardson,58,56,61,25.91,8.01,19.4,
Bilawal Bhatti,54,52,60,23.21,7.9,17.6,
Mohammed Shami,52,52,60,22.93,7.84,17.5,
PV Tambe,54,54,59,22.64,7.03,19.3,
RMS Eranga,37,37,58,16.22,6.97,13.9,
SS Cottrell,43,43,58,19.44,7.21,16.1,
Bipul Sharma,71,59,57,20.96,6.54,19.2,
HMRKB Herath,53,51,57,19.8,6.1,19.4,
JDS Neesham,69,59,57,25,8.62,17.3,
PJ Cummins,48,48,57,24.36,7.62,19.1,
AR Nurse,63,56,55,20.07,6.74,17.8,
HV Patel,61,59,55,28.09,7.65,22,
JO Holder,70,69,54,32.14,7.58,25.4,
A Ashish Reddy,69,48,53,20.35,7.83,15.5,
D Bishoo,40,40,53,16.88,6.41,15.7,
GJ Maxwell,163,111,53,35.47,7.91,26.8,
M de Lange,47,46,53,26.67,8.76,18.2,
NO Miller,78,77,53,30.9,6.64,27.9,
DAJ Bracewell,44,43,52,22.46,8.79,15.3,
KS Lokuarachchi,53,46,52,17.9,6.93,15.4,
TA Boult,52,52,52,27.57,7.94,20.8,
SPD Smith,140,48,51,19.45,7.58,15.3,
TL Best,54,54,51,26.78,7.51,21.3,
F du Plessis,166,52,50,18.34,6.96,15.8,
R Dhawan,68,63,50,31.34,7.4,25.4,
SK Raina,242,98,50,31.06,7.14,26.1,
AJ Tye,39,38,49,22.65,7.8,17.4,
SS Pathirana,46,39,49,18.69,7.46,15,
AN Ahmed,53,52,48,28.41,7.78,21.8,
CR Brathwaite,60,58,48,28.47,7.5,22.7,
Imran Khan (1),28,28,48,16.02,7.13,13.4,
P Negi,65,56,48,27.27,7.48,21.8,
BCJ Cutting,58,58,47,31.21,8.4,22.2,
LR Shukla,81,60,47,24.61,7.11,20.7,
MJ Henry,53,50,47,28.42,8.27,20.6,
S Kaul,42,42,47,20.04,6.54,18.3,
STR Binny,107,86,47,27.63,7.54,21.9,
AP Devcich,87,58,45,25.68,7.24,21.2,
CJ Boyce,36,35,45,20.28,7.88,15.4,
HH Pandya,65,62,45,28.55,7.64,22.4,
RAS Lakmal,39,37,44,23.18,7.83,17.7,
VS Malik,41,41,44,23,7.34,18.7,
GE Mathurin,50,46,43,22.06,5.79,22.8,
TAM Siriwardana,88,61,43,25.72,7.88,19.5,
Anureet Singh,44,43,42,28.35,8.13,20.9,
IS Sodhi,41,40,42,23.57,7.17,19.7,
VR Aaron,47,45,40,33.17,8.2,24.2,
K Rabada,30,30,39,21.76,7.49,17.4,
MR Marsh,59,45,37,25.48,8.14,18.7,
RLB Rambukwella,41,36,36,19.8,6.81,17.4,
SA Abbott,44,43,36,28.75,8.83,19.5,
CAK Rajitha,18,18,34,14.91,7.56,11.8,
Ankit Sharma,46,43,33,29.54,7.32,24.2,
A Dananjaya,32,28,32,20.43,6.74,18.1,
JL Ontong,127,62,31,32.06,8.49,22.6,
B Fernando,18,18,30,16.2,7.45,13,
BA Stokes,74,46,30,35.83,8.64,24.8,
JL Pattinson,23,23,30,21.43,7.84,16.4,
DSNFG Jayasuriya,46,34,29,22.51,7.3,18.4,
RG Sharma,236,57,29,28.17,7.8,21.6,
Saad Nasim,58,40,29,29.79,7.81,22.8,
BB Sran,26,26,28,23.96,7.75,18.5,
Swapnil Singh,24,21,28,17.57,7.02,15,
KS Williamson,103,50,27,31.25,7.07,26.5,
Parvez Rasool,37,37,27,34.44,6.88,30,
PVD Chameera,32,31,27,28.62,7.26,23.6,
CL White,207,42,26,27.23,8.77,18.6,
N Pradeep,21,21,26,17.92,7.37,14.5,
Usman Khan,18,18,25,18.88,7.13,15.8,
CJ Anderson,72,37,24,33.54,8.56,23.5,
R Shukla,26,26,24,30.2,8.22,22,
MJ Santner,20,19,23,18.6,6.27,17.7,
DJ Muthuswami,22,22,22,24.18,7.51,19.3,
GH Worker,72,32,22,29.5,8.32,21.2,
KH Pandya,27,25,22,22.5,6.61,20.4,
LMP Simmons,180,31,22,24.18,8.62,16.8,
N Deonarine,42,28,21,26.76,7.86,20.4,
DAS Gunaratne,23,22,20,21.15,7.33,17.3,
H Davids,145,39,20,30.6,7.65,24,
R Sathish,62,34,20,29.35,7.23,24.3,
S Rana,42,23,20,20.15,6.77,17.8,
MP Stoinis,27,18,19,18.26,7.88,13.8,
J Suchith,25,24,18,31.88,7.97,24,
Karanveer Singh,15,15,18,25.05,8.96,16.7,
TD Astle,37,30,18,33.27,7.04,28.3,
M Ashwin,16,16,17,21.64,7.14,18.1,
JDF Vandersay,25,24,16,34,7.08,28.8,
JM Muirhead,13,13,16,18.37,7.53,14.6,
