Name,Age,Role,Batting Style,Bowling Style
A Ashish Reddy,25,Allrounder,Right-hand bat,Right-arm medium
A Dananjaya,23,Allrounder,Left-hand bat,Right-arm offbreak
A Mishra,33,Bowler,Right-hand bat,Legbreak
A Nehra,37,Bowler,Right-hand bat,Left-arm medium-fast
A Zampa,24,Bowler,Right-hand bat,Legbreak googly
AB Dinda,32,Bowler,Right-hand bat,Right-arm medium-fast
AB de Villiers,32,Wicketkeeper batsman,Right-hand bat,Right-arm medium
AC Agar,22,Bowler,Left-hand bat,Slow left-arm orthodox
AC Voges,37,Top-order batsman,Right-hand bat,Slow left-arm orthodox
AD Hales,27,Opening batsman,Right-hand bat,Right-arm medium
AD Mathews,29,Allrounder,Right-hand bat,Right-arm fast-medium
AD Nath,23,Middle-order batsman,Right-hand bat,Right-arm medium-fast
AD Russell,28,Allrounder,Right-hand bat,Right-arm fast
ADS Fletcher,28,Wicketkeeper batsman,Right-hand bat,"Right-arm medium-fast, Legbreak"
AF Milne,24,Bowler,Right-hand bat,Right-arm fast
AJ Finch,29,Top-order batsman,Right-hand bat,Slow left-arm orthodox
AJ Tye,29,Bowler,Right-hand bat,Right-arm medium-fast
AM Ellis,34,Allrounder,Right-hand bat,Right-arm fast-medium
AM Nayar,33,Allrounder,Left-hand bat,Right-arm medium
AM Phangiso,32,Bowler,Right-hand bat,Slow left-arm orthodox
AM Rahane,28,Top-order batsman,Right-hand bat,Right-arm medium
AN Ahmed,27,Bowler,Right-hand bat,Right-arm medium-fast
AP Devcich,31,Opening batsman,Left-hand bat,Slow left-arm orthodox
AP Tare,28,Wicketkeeper,Right-hand bat,
AR Nurse,27,Bowler,Right-hand bat,Right-arm offbreak
AR Patel,22,Bowling allrounder,Left-hand bat,Slow left-arm orthodox
AT Rayudu,31,Middle-order batsman,Right-hand bat,Right-arm offbreak
AU Rashid,28,Bowler,Right-hand bat,Legbreak
Abdul Razzaq,36,Allrounder,Right-hand bat,Right-arm fast-medium
Abdur Rehman,36,Bowler,Left-hand bat,Slow left-arm orthodox
Ahmed Shehzad,24,Opening batsman,Right-hand bat,Legbreak
Aizaz Cheema,37,Bowler,Right-hand bat,Right-arm medium-fast
Ankit Sharma,25,Bowler,Left-hand bat,Slow left-arm orthodox
Anureet Singh,28,Bowler,Right-hand bat,Right-arm medium
Anwar Ali,28,Bowler,Right-hand bat,Right-arm medium-fast
Asad Shafiq,30,Middle-order batsman,Right-hand bat,Legbreak
Awais Zia,30,Opening batsman,Left-hand bat,Right-arm offbreak
Azhar Mahmood,41,,Right-hand bat,Right-arm fast-medium
B Fernando,21,Bowler,Right-hand bat,Left-arm medium-fast
B Kumar,26,Bowler,Right-hand bat,Right-arm medium
B Lee,39,Bowler,Right-hand bat,Right-arm fast
BA Stokes,25,Allrounder,Left-hand bat,Right-arm fast-medium
BAW Mendis,31,Bowler,Right-hand bat,"Right-arm offbreak, Legbreak"
BB McCullum,35,Wicketkeeper batsman,Right-hand bat,Right-arm medium
BB Sran,23,Bowler,Left-hand bat,Left-arm medium
BCJ Cutting,29,Allrounder,Right-hand bat,Right-arm fast-medium
BE Hendricks,26,Bowler,Left-hand bat,Left-arm fast-medium
BJ Haddin,38,Wicketkeeper batsman,Right-hand bat,
BJ Hodge,41,Top-order batsman,Right-hand bat,Right-arm offbreak
BJ Rohrer,35,Middle-order batsman,Left-hand bat,
BJ Watling,31,Wicketkeeper batsman,Right-hand bat,
